,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c225782_g2_i1|m.10939,26.7206,29.8234,15.5081,26.6811,30.4807,14.6347,0,30.8752,14.1315,30.2756,14.0567,29.4476,15.1123,0,13.7448,13.1885,14.4218,15.687,33.0949,16.3232,16.6323,0,28.7181,29.5761,32.2988,30.6675,0,29.6015,0,15.4424,0,15.3054,16.5299,14.5611,lcl|c225782_g2_i1|m.10939
lcl|c225820_g10_i1|m.10972,13.583,0,0,0,0,14.8786,0,0,0,0,14.291,14.9692,0,0,0,0,0,0,16.8232,0,0,0,0,0,0,0,0,0,0,0,15.0571,0,0,29.6076,lcl|c225820_g10_i1|m.10972
lcl|c225822_g2_i4|m.10975,0,0,6.4135,0,0,0,0,0,0,0,5.8133,0,0,0,5.6843,0,0,0,0,0,20.6353,0,0,6.1157,0,6.3414,0,0,0,6.3863,0,6.3297,0,0,lcl|c225822_g2_i4|m.10975
lcl|c207709_g1_i1|m.1673,97.0213,86.63,45.0474,0,0,0,61.9369,33.632,0,0,0,64.1536,54.8722,0,29.9439,86.196,52.3648,34.1752,48.0664,35.5613,84.5475,63.9301,52.1371,42.9557,23.4551,89.0818,52.4954,42.9927,0,0,0,0,0,0,lcl|c207709_g1_i1|m.1673
lcl|c225829_g1_i1|m.10978,1546.6759,1009.2079,952.9013,1449.3459,1235.0236,1146.8506,582.2976,577.3894,2151.9065,1091.9113,976.3768,1022.7114,1789.8748,712.9723,1664.6207,1796.9025,1078.7912,740.3789,559.9563,2558.3396,710.9396,1254.3365,1368.1993,908.6548,1236.7856,587.1598,1223.105,975.3369,637.6481,866.3502,870.4558,654.2234,691.8423,1063.2794,lcl|c225829_g1_i1|m.10978
lcl|c225844_g2_i3|m.10984,11.1641,24.921,12.9589,50.164,0,0,5.9392,12.8999,35.4255,6.3247,11.746,6.1517,12.6281,0,17.228,5.5102,18.0766,19.6624,13.8273,0,13.8982,6.1303,23.9974,6.1786,26.9894,57.6591,12.0811,24.7355,35.1965,96.7792,12.3757,38.3684,138.1265,6.0837,lcl|c225844_g2_i3|m.10984
lcl|c225849_g2_i3|m.10990,0,0,4.4102,3.7938,4.3341,4.1619,0,8.7804,0,4.3049,0,0,0,0,0,0,0,0,4.7058,0,4.7299,0,0,0,0,21.8032,0,0,0,8.7831,0,0,0,0,lcl|c225849_g2_i3|m.10990
lcl|c225852_g2_i3|m.10992,11.1641,6.2302,0,16.7213,6.3675,24.4581,5.9392,19.3499,29.5213,18.9741,17.619,6.1517,6.3141,0,5.7427,0,0,19.6624,20.741,6.82,6.9491,12.2606,5.9993,0,13.4947,12.8131,0,12.3677,11.7322,6.4519,6.1879,12.7895,0,6.0837,lcl|c225852_g2_i3|m.10992
lcl|c225867_g3_i1|m.11000,7.8363,17.4926,9.0961,0,8.939,17.1677,16.6753,18.1095,0,0,0,8.6361,0,0,0,7.7355,0,9.201,0,9.5742,0,8.606,25.2664,17.3475,0,8.9938,0,8.6812,57.6456,9.0575,8.6868,17.9544,0,0,lcl|c225867_g3_i1|m.11000
lcl|c225875_g4_i2|m.11006,7.99,8.9178,18.5489,7.9782,18.2286,26.2564,34.0046,0,8.4512,18.106,8.4065,26.4162,9.0378,0,49.3194,23.6616,25.8744,28.1443,19.7921,0,49.7338,26.3242,17.1746,8.8438,9.658,45.8509,0,17.7029,25.1897,46.1757,17.7143,18.3065,49.4276,17.4162,lcl|c225875_g4_i2|m.11006
